Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,Amazon EC2,0,898.5,10782,USD,"Operating system (Linux),
 Quantity (10), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,Application Load Balancer,0,32.85,394.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),Amazon Virtual Private Cloud (VPC),0,32.85,394.2,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,Amazon RDS for PostgreSQL,0,"6,610.56",79326.72,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (5 TB per month), Instance type (db.m5.4xlarge), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),Amazon Simple Storage Service (S3),S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),Amazon Simple Storage Service (S3),Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),AWS Data Transfer,AWS Data Transfer,0,1228.8,14745.6,USD,"DT Inbound: Internet (40 TB per month), DT Outbound: All other regions (30 TB per month), DT Intra-Region: (30 TB per month), Data transfer cost (1228.8)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud,Amazon Virtual Private Cloud (VPC),0,365,4380,USD,Number of Site-to-Site VPN Connections (10)
My Estimate,US West (Oregon),,Amazon EC2,0,"2,173.75",26085,USD,"Operating system (Linux), Quantity (25), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US West (Oregon),Amazon RDS for PostgreSQL,Amazon RDS for PostgreSQL,0,"6,984.51",83814.12,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (6 TB per month), Instance type (db.m5.4xlarge), Additional backup storage (2 GB)"
My Estimate,US West (Oregon),Amazon Virtual Private Cloud (VPC),Amazon Virtual Private Cloud (VPC),0,36.5,438,USD,Number of Transit Gateway attachments (1)
My Estimate,US West (Oregon),,AWS Data Transfer,0,1024,12288,USD,"DT Inbound: All other regions (5 TB per month), DT Outbound: Amazon CloudFront (50 TB per month), DT Intra-Region: (50 TB per month), Data transfer cost (1024)"
My Estimate,US West (Oregon),Elastic Load Balancing,Application Load Balancer,0,32.85,394.2,USD,Number of Application Load Balancers (2)
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
